president,term,start_date,end_date,approving,disapproving,unsure_no_data,democrats_approving,independents_approving,republicans_approving,poll_source,source_url
Donald J. Trump,2nd term,06/03/2026,06/08/2026,35,63,2,4,24,79,reuters/ipsos,https://www.presidency.ucsb.edu/statistics/data/donald-j-trump-2nd-term-public-approval
Donald J. Trump,2nd term,06/08/2026,06/11/2026,35,59,6,5,28,80,marist-npr pbs,https://www.presidency.ucsb.edu/statistics/data/donald-j-trump-2nd-term-public-approval
Joseph R. Biden,1st term,1/2/2025,1/15/2025,40,54,6,80,37,4,,https://www.presidency.ucsb.edu/statistics/data/joseph-r-biden-public-approval
Joseph R. Biden,1st term,12/2/2024,12/18/2024,39,56,5,85,37,2,,https://www.presidency.ucsb.edu/statistics/data/joseph-r-biden-public-approval
Joseph R. Biden,1st term,11/6/2024,11/20/2024,37,58,5,80,32,7,,https://www.presidency.ucsb.edu/statistics/data/joseph-r-biden-public-approval
Joseph R. Biden,1st term,10/14/2024,10/27/2024,41,56,3,77,38,6,,https://www.presidency.ucsb.edu/statistics/data/joseph-r-biden-public-approval
Joseph R. Biden,1st term,10/1/2024,10/12/2024,39,56,5,83,33,8,,https://www.presidency.ucsb.edu/statistics/data/joseph-r-biden-public-approval
Joseph R. Biden,1st term,9/16/2024,9/28/2024,45,52,3,83,43,4,,https://www.presidency.ucsb.edu/statistics/data/joseph-r-biden-public-approval
Joseph R. Biden,1st term,9/3/2024,9/15/2024,39,58,3,84,37,3,,https://www.presidency.ucsb.edu/statistics/data/joseph-r-biden-public-approval
Joseph R. Biden,1st term,8/1/2024,8/20/2024,43,53,4,89,37,3,,https://www.presidency.ucsb.edu/statistics/data/joseph-r-biden-public-approval
Joseph R. Biden,1st term,7/1/2024,7/21/2024,36,58,6,81,31,4,,https://www.presidency.ucsb.edu/statistics/data/joseph-r-biden-public-approval
Joseph R. Biden,1st term,6/3/2024,6/23/2024,38,58,4,83,33,5,,https://www.presidency.ucsb.edu/statistics/data/joseph-r-biden-public-approval
Joseph R. Biden,1st term,5/1/2024,5/23/2024,39,56,5,82,34,2,,https://www.presidency.ucsb.edu/statistics/data/joseph-r-biden-public-approval
Joseph R. Biden,1st term,4/1/2024,4/22/2024,38,58,4,83,33,2,,https://www.presidency.ucsb.edu/statistics/data/joseph-r-biden-public-approval
Joseph R. Biden,1st term,3/1/2024,3/20/2024,40,55,5,83,34,7,,https://www.presidency.ucsb.edu/statistics/data/joseph-r-biden-public-approval
Joseph R. Biden,1st term,2/1/2024,2/20/2024,38,59,3,82,32,3,,https://www.presidency.ucsb.edu/statistics/data/joseph-r-biden-public-approval
Joseph R. Biden,1st term,1/2/2024,1/22/2024,41,54,5,83,35,6,,https://www.presidency.ucsb.edu/statistics/data/joseph-r-biden-public-approval
Joseph R. Biden,1st term,12/1/2023,12/20/2023,39,59,2,78,34,5,,https://www.presidency.ucsb.edu/statistics/data/joseph-r-biden-public-approval
Joseph R. Biden,1st term,11/1/2023,11/21/2023,37,59,4,83,27,5,,https://www.presidency.ucsb.edu/statistics/data/joseph-r-biden-public-approval
Joseph R. Biden,1st term,10/2/2023,10/23/2023,37,59,4,75,35,5,,https://www.presidency.ucsb.edu/statistics/data/joseph-r-biden-public-approval
Joseph R. Biden,1st term,9/1/2023,9/23/2023,41,58,1,86,39,5,,https://www.presidency.ucsb.edu/statistics/data/joseph-r-biden-public-approval
Joseph R. Biden,1st term,8/1/2023,8/23/2023,42,53,5,87,39,3,,https://www.presidency.ucsb.edu/statistics/data/joseph-r-biden-public-approval
Joseph R. Biden,1st term,7/3/2023,7/27/2023,40,55,4,86,38,2,,https://www.presidency.ucsb.edu/statistics/data/joseph-r-biden-public-approval
Joseph R. Biden,1st term,6/1/2023,6/22/2023,43,54,3,82,41,6,,https://www.presidency.ucsb.edu/statistics/data/joseph-r-biden-public-approval
Joseph R. Biden,1st term,5/1/2023,5/24/2023,39,57,5,84,33,4,,https://www.presidency.ucsb.edu/statistics/data/joseph-r-biden-public-approval
Joseph R. Biden,1st term,4/3/2023,4/25/2023,37,59,4,83,31,4,,https://www.presidency.ucsb.edu/statistics/data/joseph-r-biden-public-approval
Joseph R. Biden,1st term,3/1/2023,3/23/2023,40,56,4,87,35,3,,https://www.presidency.ucsb.edu/statistics/data/joseph-r-biden-public-approval
Joseph R. Biden,1st term,2/1/2023,2/23/2023,42,54,5,80,40,6,,https://www.presidency.ucsb.edu/statistics/data/joseph-r-biden-public-approval
Joseph R. Biden,1st term,1/2/2023,1/22/2023,41,54,4,81,36,4,,https://www.presidency.ucsb.edu/statistics/data/joseph-r-biden-public-approval
Joseph R. Biden,1st term,11/9/2022,12/2/2022,40,55,5,85,37,6,,https://www.presidency.ucsb.edu/statistics/data/joseph-r-biden-public-approval
Joseph R. Biden,1st term,10/3/2022,10/20/2022,40,56,4,85,39,4,,https://www.presidency.ucsb.edu/statistics/data/joseph-r-biden-public-approval
Joseph R. Biden,1st term,9/1/2022,9/16/2022,42,56,2,86,39,7,,https://www.presidency.ucsb.edu/statistics/data/joseph-r-biden-public-approval
Joseph R. Biden,1st term,8/1/2022,8/23/2022,44,53,3,81,40,4,,https://www.presidency.ucsb.edu/statistics/data/joseph-r-biden-public-approval
Joseph R. Biden,1st term,7/5/2022,7/26/2022,38,59,3,78,31,5,,https://www.presidency.ucsb.edu/statistics/data/joseph-r-biden-public-approval
Joseph R. Biden,1st term,6/1/2022,6/20/2022,41,57,3,85,36,3,,https://www.presidency.ucsb.edu/statistics/data/joseph-r-biden-public-approval
Joseph R. Biden,1st term,5/2/2022,5/22/2022,41,54,5,82,39,3,,https://www.presidency.ucsb.edu/statistics/data/joseph-r-biden-public-approval
Joseph R. Biden,1st term,4/1/2022,4/19/2022,41,56,3,84,35,5,,https://www.presidency.ucsb.edu/statistics/data/joseph-r-biden-public-approval
Joseph R. Biden,1st term,3/1/2022,3/18/2022,42,54,4,84,38,5,,https://www.presidency.ucsb.edu/statistics/data/joseph-r-biden-public-approval
Joseph R. Biden,1st term,2/1/2022,2/17/2022,41,55,4,79,35,7,,https://www.presidency.ucsb.edu/statistics/data/joseph-r-biden-public-approval
Joseph R. Biden,1st term,1/3/2022,1/16/2022,40,56,4,82,32,5,,https://www.presidency.ucsb.edu/statistics/data/joseph-r-biden-public-approval
Joseph R. Biden,1st term,12/1/2021,12/16/2021,43,51,6,78,40,5,,https://www.presidency.ucsb.edu/statistics/data/joseph-r-biden-public-approval
Joseph R. Biden,1st term,11/1/2021,11/16/2021,42,55,3,90,37,6,,https://www.presidency.ucsb.edu/statistics/data/joseph-r-biden-public-approval
Joseph R. Biden,1st term,10/1/2021,10/19/2021,42,52,6,92,34,4,,https://www.presidency.ucsb.edu/statistics/data/joseph-r-biden-public-approval
Joseph R. Biden,1st term,9/1/2021,9/17/2021,43,55,2,90,37,6,,https://www.presidency.ucsb.edu/statistics/data/joseph-r-biden-public-approval
Joseph R. Biden,1st term,8/2/2021,8/17/2021,49,48,3,93,43,7,,https://www.presidency.ucsb.edu/statistics/data/joseph-r-biden-public-approval
Joseph R. Biden,1st term,7/6/2021,7/21/2021,50,45,5,90,47,12,,https://www.presidency.ucsb.edu/statistics/data/joseph-r-biden-public-approval
Joseph R. Biden,1st term,6/1/2021,6/18/2021,56,42,2,95,55,11,,https://www.presidency.ucsb.edu/statistics/data/joseph-r-biden-public-approval
Joseph R. Biden,1st term,5/3/2021,5/18/2021,54,40,6,92,54,8,,https://www.presidency.ucsb.edu/statistics/data/joseph-r-biden-public-approval
Joseph R. Biden,1st term,4/1/2021,4/21/2021,57,40,3,94,58,11,,https://www.presidency.ucsb.edu/statistics/data/joseph-r-biden-public-approval
Joseph R. Biden,1st term,3/1/2021,3/15/2021,54,42,4,94,50,8,,https://www.presidency.ucsb.edu/statistics/data/joseph-r-biden-public-approval
Joseph R. Biden,1st term,2/3/2021,2/18/2021,56,40,4,96,53,12,,https://www.presidency.ucsb.edu/statistics/data/joseph-r-biden-public-approval
Joseph R. Biden,1st term,1/21/2021,2/2/2021,57,37,6,98,61,11,,https://www.presidency.ucsb.edu/statistics/data/joseph-r-biden-public-approval
Donald J. Trump,1st term,01/04/2021,01/15/2021,34,62,4,4,30,82,,https://www.presidency.ucsb.edu/statistics/data/donald-j-trump-public-approval
Donald J. Trump,1st term,12/01/2020,12/17/2020,39,57,4,6,34,87,,https://www.presidency.ucsb.edu/statistics/data/donald-j-trump-public-approval
Donald J. Trump,1st term,11/05/2020,11/19/2020,43,55,2,3,39,90,,https://www.presidency.ucsb.edu/statistics/data/donald-j-trump-public-approval
Donald J. Trump,1st term,09/30/2020,10/27/2020,46,52,2,4,38,94,,https://www.presidency.ucsb.edu/statistics/data/donald-j-trump-public-approval
Donald J. Trump,1st term,08/31/2020,09/28/2020,43,55,2,5,38,93,,https://www.presidency.ucsb.edu/statistics/data/donald-j-trump-public-approval
Donald J. Trump,1st term,07/30/2020,08/12/2020,46,52,2,5,39,90,,https://www.presidency.ucsb.edu/statistics/data/donald-j-trump-public-approval
Donald J. Trump,1st term,07/01/2020,07/23/2020,42,56,2,4,33,91,,https://www.presidency.ucsb.edu/statistics/data/donald-j-trump-public-approval
Donald J. Trump,1st term,05/28/2020,06/30/2020,42,55,3,3,36,88,,https://www.presidency.ucsb.edu/statistics/data/donald-j-trump-public-approval
Donald J. Trump,1st term,05/01/2020,05/13/2020,41,56,3,14,48,92,,https://www.presidency.ucsb.edu/statistics/data/donald-j-trump-public-approval
Donald J. Trump,1st term,04/01/2020,04/28/2020,38,57,5,7,43,93,,https://www.presidency.ucsb.edu/statistics/data/donald-j-trump-public-approval
Donald J. Trump,1st term,03/02/2020,03/22/2020,39,57,4,10,39,92,,https://www.presidency.ucsb.edu/statistics/data/donald-j-trump-public-approval
Donald J. Trump,1st term,02/03/2020,02/28/2020,49,48,3,7,42,93,,https://www.presidency.ucsb.edu/statistics/data/donald-j-trump-public-approval
Donald J. Trump,1st term,01/02/2020,01/29/2020,49,47,4,8,40,92,,https://www.presidency.ucsb.edu/statistics/data/donald-j-trump-public-approval
Donald J. Trump,1st term,12/02/2019,12/15/2019,43,54,3,8,43,89,,https://www.presidency.ucsb.edu/statistics/data/donald-j-trump-public-approval
Donald J. Trump,1st term,11/01/2019,11/14/2019,49,45,6,4,38,90,,https://www.presidency.ucsb.edu/statistics/data/donald-j-trump-public-approval
Donald J. Trump,1st term,10/01/2019,10/31/2019,44,52,4,6,33,88,,https://www.presidency.ucsb.edu/statistics/data/donald-j-trump-public-approval
Donald J. Trump,1st term,09/03/2019,09/30/2019,47,51,2,5,37,89,,https://www.presidency.ucsb.edu/statistics/data/donald-j-trump-public-approval
Donald J. Trump,1st term,08/01/2019,08/30/2019,49,48,3,4,34,88,,https://www.presidency.ucsb.edu/statistics/data/donald-j-trump-public-approval
Donald J. Trump,1st term,07/01/2019,07/31/2019,49,50,1,7,38,89,,https://www.presidency.ucsb.edu/statistics/data/donald-j-trump-public-approval
Donald J. Trump,1st term,06/03/2019,06/30/2019,44,53,3,6,35,89,,https://www.presidency.ucsb.edu/statistics/data/donald-j-trump-public-approval
Donald J. Trump,1st term,05/01/2019,05/30/2019,45,51,4,8,33,89,,https://www.presidency.ucsb.edu/statistics/data/donald-j-trump-public-approval
Donald J. Trump,1st term,04/01/2019,04/30/2019,43,54,3,10,39,90,,https://www.presidency.ucsb.edu/statistics/data/donald-j-trump-public-approval
Donald J. Trump,1st term,03/01/2019,03/10/2019,41,57,2,4,33,90,,https://www.presidency.ucsb.edu/statistics/data/donald-j-trump-public-approval
Donald J. Trump,1st term,02/01/2019,02/28/2019,39,57,4,5,36,90,,https://www.presidency.ucsb.edu/statistics/data/donald-j-trump-public-approval
Donald J. Trump,1st term,01/02/2019,01/27/2019,40,56,4,5,31,88,,https://www.presidency.ucsb.edu/statistics/data/donald-j-trump-public-approval
Donald J. Trump,1st term,11/26/2018,12/23/2018,43,54,3,7,38,88,,https://www.presidency.ucsb.edu/statistics/data/donald-j-trump-public-approval
Donald J. Trump,1st term,10/29/2018,11/25/2018,39,57,4,6,36,89,,https://www.presidency.ucsb.edu/statistics/data/donald-j-trump-public-approval
Donald J. Trump,1st term,10/01/2018,10/28/2018,41,54,5,7,38,89,,https://www.presidency.ucsb.edu/statistics/data/donald-j-trump-public-approval
Donald J. Trump,1st term,08/27/2017,09/30/2018,42,54,4,7,36,87,,https://www.presidency.ucsb.edu/statistics/data/donald-j-trump-public-approval
Donald J. Trump,1st term,07/30/2018,08/26/2017,44,51,5,8,36,86,,https://www.presidency.ucsb.edu/statistics/data/donald-j-trump-public-approval
Donald J. Trump,1st term,07/02/2018,07/29/2018,41,54,5,9,36,87,,https://www.presidency.ucsb.edu/statistics/data/donald-j-trump-public-approval
Donald J. Trump,1st term,05/28/2018,07/01/2018,43,55,2,9,37,88,,https://www.presidency.ucsb.edu/statistics/data/donald-j-trump-public-approval
Donald J. Trump,1st term,04/30/2018,05/27/2018,40,55,5,10,36,87,,https://www.presidency.ucsb.edu/statistics/data/donald-j-trump-public-approval
Donald J. Trump,1st term,04/02/2018,04/29/2018,42,52,6,9,33,86,,https://www.presidency.ucsb.edu/statistics/data/donald-j-trump-public-approval
Donald J. Trump,1st term,02/26/2018,04/01/2018,46,50,4,7,33,85,,https://www.presidency.ucsb.edu/statistics/data/donald-j-trump-public-approval
Donald J. Trump,1st term,01/29/2018,02/25/2018,45,51,4,7,34,87,,https://www.presidency.ucsb.edu/statistics/data/donald-j-trump-public-approval
Donald J. Trump,1st term,12/01/2017,12/31/2017,39,57,4,7,32,80,,https://www.presidency.ucsb.edu/statistics/data/donald-j-trump-public-approval
Donald J. Trump,1st term,11/01/2017,11/30/2017,43,54,3,7,34,81,,https://www.presidency.ucsb.edu/statistics/data/donald-j-trump-public-approval
Donald J. Trump,1st term,10/01/2017,10/31/2017,44,52,4,8,33,79,,https://www.presidency.ucsb.edu/statistics/data/donald-j-trump-public-approval
Donald J. Trump,1st term,09/01/2017,09/30/2017,37,59,4,8,33,81,,https://www.presidency.ucsb.edu/statistics/data/donald-j-trump-public-approval
Donald J. Trump,1st term,08/01/2017,08/31/2017,37,59,4,7,30,79,,https://www.presidency.ucsb.edu/statistics/data/donald-j-trump-public-approval
Donald J. Trump,1st term,07/01/2017,07/31/2017,39,55,6,8,33,85,,https://www.presidency.ucsb.edu/statistics/data/donald-j-trump-public-approval
Donald J. Trump,1st term,06/01/2017,06/30/2017,38,57,5,7,33,84,,https://www.presidency.ucsb.edu/statistics/data/donald-j-trump-public-approval
Donald J. Trump,1st term,05/01/2017,05/31/2017,40,56,4,8,36,84,,https://www.presidency.ucsb.edu/statistics/data/donald-j-trump-public-approval
Donald J. Trump,1st term,04/01/2017,04/30/2017,40,56,4,9,36,86,,https://www.presidency.ucsb.edu/statistics/data/donald-j-trump-public-approval
Donald J. Trump,1st term,03/01/2017,03/31/2017,38,60,2,9,35,86,,https://www.presidency.ucsb.edu/statistics/data/donald-j-trump-public-approval
Donald J. Trump,1st term,02/01/2017,02/28/2017,43,53,4,9,38,87,,https://www.presidency.ucsb.edu/statistics/data/donald-j-trump-public-approval
Donald J. Trump,1st term,01/20/2017,01/31/2017,38,56,6,12,42,88,,https://www.presidency.ucsb.edu/statistics/data/donald-j-trump-public-approval
Barack Obama,1st term,01/16/2017,01/19/2017,59,37,4,95,61,14,,https://www.presidency.ucsb.edu/statistics/data/barack-obama-public-approval
Barack Obama,1st term,01/09/2017,01/15/2017,57,39,4,93,56,17,,https://www.presidency.ucsb.edu/statistics/data/barack-obama-public-approval
Barack Obama,1st term,01/02/2017,01/08/2017,55,42,3,92,56,15,,https://www.presidency.ucsb.edu/statistics/data/barack-obama-public-approval
Barack Obama,1st term,12/26/2016,01/01/2017,55,40,5,90,57,14,,https://www.presidency.ucsb.edu/statistics/data/barack-obama-public-approval
Barack Obama,1st term,12/19/2016,12/25/2016,56,40,4,92,58,16,,https://www.presidency.ucsb.edu/statistics/data/barack-obama-public-approval
Barack Obama,1st term,12/12/2016,12/18/2016,56,40,4,92,57,15,,https://www.presidency.ucsb.edu/statistics/data/barack-obama-public-approval
Barack Obama,1st term,12/05/2016,12/11/2016,57,40,3,92,61,16,,https://www.presidency.ucsb.edu/statistics/data/barack-obama-public-approval
Barack Obama,1st term,11/28/2016,12/04/2016,54,43,3,92,53,15,,https://www.presidency.ucsb.edu/statistics/data/barack-obama-public-approval
Barack Obama,1st term,11/21/2016,11/27/2016,56,40,4,93,55,15,,https://www.presidency.ucsb.edu/statistics/data/barack-obama-public-approval
Barack Obama,1st term,11/14/2016,11/20/2016,56,41,3,93,60,15,,https://www.presidency.ucsb.edu/statistics/data/barack-obama-public-approval
Barack Obama,1st term,11/07/2016,11/13/2016,57,41,2,93,58,14,,https://www.presidency.ucsb.edu/statistics/data/barack-obama-public-approval
Barack Obama,1st term,10/31/2016,11/06/2016,53,45,2,91,53,11,,https://www.presidency.ucsb.edu/statistics/data/barack-obama-public-approval
Barack Obama,1st term,10/24/2016,10/30/2016,54,44,2,90,53,12,,https://www.presidency.ucsb.edu/statistics/data/barack-obama-public-approval
Barack Obama,1st term,10/17/2016,10/23/2016,55,42,3,94,52,14,,https://www.presidency.ucsb.edu/statistics/data/barack-obama-public-approval
Barack Obama,1st term,10/10/2016,10/16/2016,54,43,3,91,54,13,,https://www.presidency.ucsb.edu/statistics/data/barack-obama-public-approval
Barack Obama,1st term,10/03/2016,10/09/2016,52,45,3,91,52,15,,https://www.presidency.ucsb.edu/statistics/data/barack-obama-public-approval
Barack Obama,1st term,09/26/2016,10/02/2016,53,44,3,89,52,11,,https://www.presidency.ucsb.edu/statistics/data/barack-obama-public-approval
Barack Obama,1st term,09/19/2016,09/25/2016,53,43,4,92,51,12,,https://www.presidency.ucsb.edu/statistics/data/barack-obama-public-approval
Barack Obama,1st term,09/12/2016,09/18/2016,52,44,4,89,50,13,,https://www.presidency.ucsb.edu/statistics/data/barack-obama-public-approval
Barack Obama,1st term,09/05/2016,09/11/2016,51,45,4,91,49,10,,https://www.presidency.ucsb.edu/statistics/data/barack-obama-public-approval
Barack Obama,1st term,08/29/2016,09/04/2016,52,44,4,90,51,11,,https://www.presidency.ucsb.edu/statistics/data/barack-obama-public-approval
Barack Obama,1st term,08/22/2016,08/28/2016,51,45,4,91,49,11,,https://www.presidency.ucsb.edu/statistics/data/barack-obama-public-approval
Barack Obama,1st term,08/15/2016,08/21/2016,51,44,5,89,49,11,,https://www.presidency.ucsb.edu/statistics/data/barack-obama-public-approval
Barack Obama,1st term,08/08/2016,08/14/2016,52,44,4,90,50,9,,https://www.presidency.ucsb.edu/statistics/data/barack-obama-public-approval
Barack Obama,1st term,08/01/2016,08/07/2016,52,45,3,90,50,11,,https://www.presidency.ucsb.edu/statistics/data/barack-obama-public-approval
Barack Obama,1st term,07/25/2016,07/31/2016,53,44,3,91,52,9,,https://www.presidency.ucsb.edu/statistics/data/barack-obama-public-approval
Barack Obama,1st term,07/18/2016,07/24/2016,49,47,4,90,46,12,,https://www.presidency.ucsb.edu/statistics/data/barack-obama-public-approval
Barack Obama,1st term,07/11/2016,07/17/2016,49,46,5,88,47,11,,https://www.presidency.ucsb.edu/statistics/data/barack-obama-public-approval
Barack Obama,1st term,07/04/2016,07/10/2016,51,45,4,90,48,9,,https://www.presidency.ucsb.edu/statistics/data/barack-obama-public-approval
Barack Obama,1st term,06/27/2016,07/03/2016,51,45,4,88,47,12,,https://www.presidency.ucsb.edu/statistics/data/barack-obama-public-approval
Barack Obama,1st term,06/20/2016,06/26/2016,50,46,4,88,47,11,,https://www.presidency.ucsb.edu/statistics/data/barack-obama-public-approval
Barack Obama,1st term,06/13/2016,06/19/2016,53,44,3,89,50,12,,https://www.presidency.ucsb.edu/statistics/data/barack-obama-public-approval
Barack Obama,1st term,06/06/2016,06/12/2016,53,43,4,89,51,13,,https://www.presidency.ucsb.edu/statistics/data/barack-obama-public-approval
Barack Obama,1st term,05/30/2016,06/05/2016,51,44,5,88,50,11,,https://www.presidency.ucsb.edu/statistics/data/barack-obama-public-approval
Barack Obama,1st term,05/23/2016,05/29/2016,52,44,4,86,50,12,,https://www.presidency.ucsb.edu/statistics/data/barack-obama-public-approval
Barack Obama,1st term,05/16/2016,05/22/2016,51,45,4,88,50,12,,https://www.presidency.ucsb.edu/statistics/data/barack-obama-public-approval
Barack Obama,1st term,05/09/2016,05/15/2016,51,45,4,86,48,12,,https://www.presidency.ucsb.edu/statistics/data/barack-obama-public-approval
Barack Obama,1st term,05/02/2016,05/08/2016,52,44,4,88,47,15,,https://www.presidency.ucsb.edu/statistics/data/barack-obama-public-approval
Barack Obama,1st term,04/25/2016,05/01/2016,51,46,3,86,49,14,,https://www.presidency.ucsb.edu/statistics/data/barack-obama-public-approval
Barack Obama,1st term,04/18/2016,04/24/2016,51,45,4,87,51,13,,https://www.presidency.ucsb.edu/statistics/data/barack-obama-public-approval
Barack Obama,1st term,04/11/2016,04/17/2016,48,47,5,84,48,9,,https://www.presidency.ucsb.edu/statistics/data/barack-obama-public-approval
Barack Obama,1st term,04/04/2016,04/10/2016,51,45,4,86,51,11,,https://www.presidency.ucsb.edu/statistics/data/barack-obama-public-approval
Barack Obama,1st term,03/28/2016,04/03/2016,51,45,4,88,48,13,,https://www.presidency.ucsb.edu/statistics/data/barack-obama-public-approval
Barack Obama,1st term,03/21/2016,03/27/2016,53,44,3,89,50,12,,https://www.presidency.ucsb.edu/statistics/data/barack-obama-public-approval
Barack Obama,1st term,03/14/2016,03/20/2016,50,46,4,88,48,10,,https://www.presidency.ucsb.edu/statistics/data/barack-obama-public-approval
Barack Obama,1st term,03/07/2016,03/13/2016,51,45,4,87,50,11,,https://www.presidency.ucsb.edu/statistics/data/barack-obama-public-approval
Barack Obama,1st term,02/29/2016,03/06/2016,50,46,4,87,45,11,,https://www.presidency.ucsb.edu/statistics/data/barack-obama-public-approval
Barack Obama,1st term,02/22/2016,02/28/2016,48,47,5,84,45,8,,https://www.presidency.ucsb.edu/statistics/data/barack-obama-public-approval
Barack Obama,1st term,02/15/2016,02/21/2016,48,48,4,85,47,8,,https://www.presidency.ucsb.edu/statistics/data/barack-obama-public-approval
Barack Obama,1st term,02/08/2016,02/14/2016,48,48,4,85,46,10,,https://www.presidency.ucsb.edu/statistics/data/barack-obama-public-approval
Barack Obama,1st term,02/01/2016,02/07/2016,47,50,3,86,42,9,,https://www.presidency.ucsb.edu/statistics/data/barack-obama-public-approval
Barack Obama,1st term,01/25/2016,01/31/2016,48,48,4,86,47,11,,https://www.presidency.ucsb.edu/statistics/data/barack-obama-public-approval
